N;p;q;found_divisor;time;divisor_equal;base_size
3691067407;106669;34603;106669;0.0;True;17
118327753;8093;14621;8093;0.0;True;15
64637;593;109;109;0.0;True;11
4777443526391;2568119;1860289;1860289;0.013000011444091797;True;22
2848903;1667;1709;1709;0.0;True;11
11156153003477;2718869;4103233;2718869;0.002997159957885742;True;22
3162241;2383;1327;1327;0.0;True;15
338351173;15187;22279;15187;0.0;True;16
2233425433483;3590087;622109;622109;0.015986204147338867;True;22
769258293351521;48378977;15900673;15900673;0.0019979476928710938;True;26
193267;1231;157;157;0.0;True;13
283977526959017;10985911;25849247;10985911;0.0009996891021728516;True;25
19810070164752223;564683501;35081723;35081723;0.029956817626953125;True;30
35081274221491;6544429;5360479;6544429;0.039958953857421875;True;23
209969244691;472711;444181;444181;0.0019974708557128906;True;19
76510738495181;6313621;12118361;6313621;0.002996683120727539;True;24
60000810579910129;320787251;187042379;187042379;0.019979000091552734;True;30
6303641849;226367;27847;27847;0.0;True;19
20536877;4969;4133;4969;0.0;True;14
142118217379;89417;1589387;89417;0.0019979476928710938;True;22
169377022789367;13821209;12254863;13821209;0.4413027763366699;True;26
13681655161171;16298531;839441;839441;0.032967329025268555;True;24
49924871;6113;8167;6113;0.0;True;13
169417;887;191;191;0.0;True;10
841565625721589;55469753;15171613;15171613;0.007990360260009766;True;26
304637813;4909;62057;4909;0.0;True;16
120715229;11939;10111;11939;0.0;True;14
111343121;6911;16111;6911;0.0009992122650146484;True;16
17367733403;141767;122509;122509;0.0009989738464355469;True;19
404093;491;823;491;0.0;True;10
11676524099;914873;12763;12763;0.0;True;20
752483657229281;9691679;77642239;9691679;0.009989738464355469;True;27
1997927;743;2689;743;0.0;True;12
190741;19;10039;19;0.0;True;14
432119;601;719;719;0.0;True;10
6821;359;19;19;0.0;True;12
13595177;1811;7507;1811;0.0;True;13
28627737227;250951;114077;250951;0.0009989738464355469;True;19
208204131972643;29187251;7133393;7133393;0.007991552352905273;True;26
7309339;7159;1021;1021;0.0;True;13
50289352460761;14703943;3420127;14703943;0.0049953460693359375;True;25
231713;1667;139;139;0.0;True;12
